tramite_tipo;ID_Denuncia;tramite_fecha;fecha_inscripcion_inicial;registro_seccional_codigo;registro_seccional_descripcion;registro_seccional_provincia;automotor_origen;automotor_anio_modelo;automotor_tipo_codigo;automotor_tipo_descripcion;automotor_marca_codigo;automotor_marca_descripcion;automotor_modelo_codigo;automotor_modelo_descripcion;automotor_uso_codigo;automotor_uso_descripcion;titular_tipo_persona;titular_domicilio_localidad;titular_domicilio_provincia;titular_genero;titular_anio_nacimiento;titular_pais_nacimiento;titular_porcentaje_titularidad;titular_domicilio_provincia_id;titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO;DEN-10502;3/1/2024;3/4/1995;1218;MORON;Buenos Aires;Importado;1995;34;PICK UP;025;CHRYSLER;018;GRAND CHEROKEE LIMITED;1;Privado;Física;CASTELAR;BUENOS AIRES;Masculino;1965;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-10471;18/1/2024;19/5/1995;1104;BERAZATEGUI;Buenos Aires;Importado;1995;34;PICK UP;024;CHEVROLET;161;TFR54HDL;1;Privado;Física;BERAZATEGUI;BUENOS AIRES;Femenino;1988;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-10718;11/1/2024;7/9/1994;1316;JOSE C. PAZ;Buenos Aires;Importado;1994;34;FAMILIAR;044;FIAT;295;ELBA CSL/1.7D;1;Privado;Física;JOSÉ C. PAZ;BUENOS AIRES;Masculino;1985;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-10959;16/1/2024;14/1/1994;1311;LA MATANZA;Buenos Aires;Importado;1993;34;SEDAN;031;DAEWOO;046;RACER GTI GRADE 1M (FULL);1;Privado;Física;VIRREY DEL PINO;BUENOS AIRES;Masculino;1984;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4873;30/1/2024;27/9/2010;1119;MORON;Buenos Aires;Nacional;2010;31;SEMIRREMOLQUE;69;BONANO;01;ST;1;Privado;Física;EL PALOMAR;BUENOS AIRES;No identificado;1981;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6530;3/1/2024;16/2/2006;1226;LA MATANZA;Buenos Aires;Nacional;2006;31;SEMIRREMOLQUE;33;AST-PRA;06;FTHDCFW3;1;Privado;Física;GONZALEZ CATAN;BUENOS AIRES;No identificado;1973;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2217;23/1/2024;28/12/2017;1173;BERAZATEGUI;Buenos Aires;Nacional;2017;31;SEMIRREMOLQUE;03;MONTENEGRO;53;SEMIRREMOLQUE BARANDA VOLCABLE 1+2 EJES;1;Privado;Física;BERAZATEGUI;BUENOS AIRES;Femenino;1979;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4194;25/1/2024;1/8/2012;2040;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2012;31;SEMIRREMOLQUE;AF;HERMANN;83;S.VT.3E.83;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;No identificado;1989;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-2219;4/1/2024;7/12/2017;21073;VILLA GOBERNADOR GÁLVEZ;Santa Fe;Protocolo 21;2017;30;FURGONETA;044;FIAT;810;NUEVO FIORINO 1.4 8V;1;Privado;Física;VILLA GOBERNADOR GÁLVEZ;SANTA FE;Masculino;1991;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-5849;26/1/2024;21/1/2008;1178;LA MATANZA;Buenos Aires;Protocolo 21;2008;30;FURGONETA;044;FIAT;591;FIORINO FIRE 1242 MPI 8V;1;Privado;Física;RAFAEL CASTILLO;BUENOS AIRES;Masculino;1992;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9625;30/1/2024;23/9/1997;1169;OLIVOS;Buenos Aires;Importado;1997;30;FURGONETA;044;FIAT;013;FIORINO 1.7 DIESEL;1;Privado;Física;VILLA MARTELLI;BUENOS AIRES;No identificado;2004;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9332;30/1/2024;13/7/1998;1053;LOMAS DE ZAMORA;Buenos Aires;Importado;1998;30;FURGONETA;047;FORD;395;COURIER;1;Privado;Física;BANFIELD;BUENOS AIRES;Masculino;1975;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4597;9/1/2024;9/6/2011;1231;TRES DE FEBRERO;Buenos Aires;Protocolo 21;2011;30;FURGONETA;044;FIAT;591;FIORINO FIRE 1242 MPI 8V;1;Privado;Física;MARTIN CORONADO;BUENOS AIRES;Masculino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-7316;26/1/2024;15/1/2004;1078;LA MATANZA;Buenos Aires;Protocolo 21;2004;30;FURGONETA;044;FIAT;013;FIORINO 1.7 DIESEL;1;Privado;Física;SAN JUSTO;BUENOS AIRES;Femenino;1964;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3854;16/1/2024;28/6/2013;1115;MORON;Buenos Aires;Importado;2013;30;FURGONETA;044;FIAT;759;FIORINO QUBO 1.4 8V DYNAMIC;1;Privado;Física;MORON;BUENOS AIRES;Femenino;1955;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3423;8/1/2024;25/8/2014;1120;LA MATANZA;Buenos Aires;Importado;2014;30;FURGONETA;044;FIAT;758;FIORINO QUBO 1.4 8V ACTIVE;1;Privado;Física;LA TABLADA;BUENOS AIRES;Masculino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8157;19/1/2024;19/9/2001;1158;TRES DE FEBRERO;Buenos Aires;Protocolo 21;2001;30;FURGONETA;044;FIAT;013;FIORINO 1.7 DIESEL;1;Privado;Física;CIUDADELA;BUENOS AIRES;Masculino;1955;ARGENTINA;100;6;ARG
